epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,251.348,2.04533,3.07686,2.77503,1.49749,0,0.45278,0.17071,0.14402,0.05598,0.42845,0.15582,0.12351,0.044,2.05607,3.0996,2.40963,1.62028,0,0.000416169,0.000416169,0.000416169
2,490.86,2.00909,2.91208,2.35022,1.53237,0,0.67065,0.15217,0.17911,0.06801,0.67481,0.15082,0.16881,0.05601,1.94691,2.92636,2.22175,1.60448,0,0.000805353,0.000805353,0.000805353
3,729.101,1.99847,2.89346,2.30173,1.53827,0,0.49665,0.2605,0.21536,0.08994,0.49343,0.25708,0.20629,0.07223,1.91928,2.88531,2.11444,1.53698,0,0.00116704,0.00116704,0.00116704
4,963.182,1.92653,2.86131,2.14239,1.49623,0,0.34056,0.35559,0.27403,0.10838,0.37734,0.30582,0.24547,0.08984,1.88114,2.80074,2.01881,1.50889,0,0.00112625,0.00112625,0.00112625
5,1197.31,1.87076,2.7955,2.04512,1.45615,0,0.54601,0.26637,0.2321,0.09762,0.53917,0.26513,0.22046,0.08303,1.79197,2.7327,2.12273,1.44903,0,0.001085,0.001085,0.001085
6,1405.97,1.83063,2.72592,1.97126,1.42652,0,0.36058,0.37727,0.30392,0.12872,0.3466,0.36197,0.27892,0.09882,1.75828,2.73698,1.84865,1.41944,0,0.00104375,0.00104375,0.00104375
7,1617.37,1.79833,2.6716,1.9034,1.40597,0,0.45229,0.35187,0.35632,0.14491,0.3729,0.32872,0.32178,0.1198,1.76098,2.68055,1.78657,1.44986,0,0.0010025,0.0010025,0.0010025
8,1820.94,1.77823,2.655,1.89633,1.395,0,0.41882,0.39742,0.3595,0.15332,0.38141,0.37607,0.32546,0.11697,1.71013,2.68166,1.77543,1.38853,0,0.00096125,0.00096125,0.00096125
9,2054.41,1.75804,2.61771,1.83747,1.37611,0,0.51664,0.36417,0.36387,0.15624,0.44045,0.36217,0.33343,0.11955,1.73294,2.75018,1.78382,1.40893,0,0.00092,0.00092,0.00092
10,2288.55,1.73519,2.59446,1.80433,1.36104,0,0.508,0.3845,0.40066,0.16769,0.40837,0.33921,0.32863,0.11443,1.73914,2.69174,1.76628,1.39717,0,0.00087875,0.00087875,0.00087875
11,2521.2,1.71622,2.58353,1.768,1.35371,0,0.46836,0.41444,0.41061,0.18221,0.42924,0.39398,0.3678,0.13689,1.66372,2.62555,1.64674,1.36274,0,0.0008375,0.0008375,0.0008375
12,2746.2,1.69888,2.56491,1.71266,1.33539,0,0.48194,0.44849,0.42335,0.18984,0.42521,0.40728,0.3688,0.14068,1.65159,2.5942,1.59938,1.35421,0,0.00079625,0.00079625,0.00079625
13,2942.5,1.68235,2.52242,1.69299,1.32441,0,0.42339,0.4456,0.41676,0.1832,0.39988,0.34885,0.331,0.12079,1.66192,2.62529,1.6843,1.34295,0,0.000755,0.000755,0.000755
14,3150.05,1.67195,2.52117,1.6584,1.31478,0,0.4881,0.48026,0.4533,0.20248,0.41802,0.40704,0.37775,0.13436,1.68186,2.58254,1.58176,1.33754,0,0.00071375,0.00071375,0.00071375
15,3282.4,1.65115,2.51202,1.61706,1.3039,0,0.52191,0.48158,0.4743,0.21322,0.48031,0.43253,0.42069,0.15978,1.63152,2.54436,1.52457,1.32175,0,0.0006725,0.0006725,0.0006725
16,3466.45,1.63797,2.47856,1.62935,1.29914,0,0.51875,0.49038,0.47884,0.22211,0.48436,0.44662,0.43801,0.17159,1.6081,2.53023,1.51482,1.31161,0,0.00063125,0.00063125,0.00063125
17,3703.4,1.62036,2.43899,1.58463,1.28001,0,0.47917,0.48095,0.45683,0.21976,0.47236,0.43777,0.41331,0.16211,1.58833,2.50596,1.5076,1.30616,0,0.00059,0.00059,0.00059
18,3940.48,1.61714,2.45411,1.55543,1.28205,0,0.54873,0.50099,0.49317,0.22915,0.47801,0.44406,0.43701,0.1724,1.59731,2.51465,1.49642,1.3205,0,0.00054875,0.00054875,0.00054875
19,4172.64,1.59429,2.42713,1.52943,1.27202,0,0.52038,0.49248,0.47559,0.2238,0.47021,0.45466,0.43263,0.16966,1.58405,2.50324,1.48681,1.30566,0,0.0005075,0.0005075,0.0005075
20,4404.28,1.59167,2.42917,1.51454,1.25733,0,0.54031,0.50318,0.49778,0.23655,0.51336,0.42443,0.44291,0.17512,1.5711,2.4752,1.44897,1.28669,0,0.00046625,0.00046625,0.00046625
