epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,177.694,1.51716,2.31901,1.35625,1.20493,0,0.52773,0.51682,0.51064,0.24509,0.48048,0.47344,0.45744,0.1816,1.55918,2.4824,1.44442,1.27465,0,0.000249708,0.000249708,0.000249708
2,348.18,1.57065,2.35955,1.45861,1.23343,0,0.51905,0.50869,0.50179,0.23163,0.47984,0.4363,0.42699,0.15983,1.60325,2.52172,1.45791,1.29643,0,0.00048734,0.00048734,0.00048734
3,516.537,1.61073,2.4588,1.53835,1.26508,0,0.50468,0.49758,0.47783,0.21557,0.42998,0.43369,0.39226,0.14706,1.63351,2.58601,1.58718,1.33731,0,0.000712597,0.000712597,0.000712597
4,684.063,1.63279,2.46049,1.5661,1.28647,0,0.57233,0.29263,0.31187,0.13903,0.57556,0.27915,0.27888,0.11337,1.70452,2.75137,1.82329,1.35961,0,0.00092548,0.00092548,0.00092548
5,849.966,1.65107,2.48329,1.6112,1.29667,0,0.4415,0.46657,0.41831,0.1898,0.4087,0.44074,0.38985,0.15148,1.6819,2.62049,1.61993,1.35145,0,0.00112599,0.00112599,0.00112599
6,1861.62,1.65533,2.47902,1.64469,1.30017,0,0.48498,0.50025,0.46739,0.2074,0.44616,0.41989,0.39253,0.14275,1.63881,2.55012,1.53498,1.32481,0,0.00109531,0.00109531,0.00109531
7,2027.4,1.64774,2.46365,1.59956,1.28764,0,0.55753,0.50512,0.49948,0.22003,0.49001,0.43328,0.41138,0.14895,1.6564,2.53653,1.53422,1.32536,0,0.00106437,0.00106437,0.00106437
8,2193.09,1.64116,2.45321,1.56547,1.28103,0,0.51296,0.4893,0.48169,0.22213,0.4564,0.44842,0.42507,0.16298,1.62986,2.56672,1.4618,1.31946,0,0.00103344,0.00103344,0.00103344
9,2358.88,1.62795,2.43822,1.55481,1.27946,0,0.50823,0.47877,0.48041,0.21755,0.5111,0.3719,0.3835,0.13689,1.63735,2.53993,1.56193,1.30177,0,0.0010025,0.0010025,0.0010025
10,2524.71,1.63156,2.44507,1.54396,1.2836,0,0.46288,0.45561,0.46247,0.21771,0.48562,0.42806,0.42413,0.16049,1.61028,2.52209,1.52123,1.30438,0,0.000971562,0.000971562,0.000971562
11,2690.17,1.59846,2.40974,1.52607,1.25571,0,0.54823,0.49184,0.50951,0.23687,0.46756,0.44518,0.43557,0.16609,1.60977,2.53994,1.45705,1.29812,0,0.000940625,0.000940625,0.000940625
12,2855.75,1.60088,2.41798,1.50638,1.2594,0,0.55236,0.46032,0.48608,0.22741,0.48524,0.43735,0.42919,0.16444,1.61171,2.53975,1.49455,1.30799,0,0.000909688,0.000909688,0.000909688
13,3021.32,1.5814,2.39377,1.49076,1.25648,0,0.50769,0.49559,0.48689,0.22974,0.50956,0.42167,0.4308,0.16274,1.60267,2.5124,1.49188,1.2988,0,0.00087875,0.00087875,0.00087875
14,3187.23,1.58697,2.38584,1.47705,1.24699,0,0.59712,0.50124,0.54336,0.24528,0.53635,0.43922,0.46849,0.17661,1.57389,2.48531,1.44671,1.28138,0,0.000847813,0.000847813,0.000847813
15,3353.27,1.57639,2.38867,1.47215,1.24173,0,0.50744,0.48835,0.49926,0.23914,0.50557,0.45178,0.45171,0.17981,1.57315,2.49169,1.42653,1.28115,0,0.000816875,0.000816875,0.000816875
16,3518.98,1.55784,2.33683,1.42882,1.2332,0,0.5861,0.45068,0.49185,0.22908,0.52633,0.39318,0.41955,0.16328,1.61209,2.53523,1.49807,1.30779,0,0.000785938,0.000785938,0.000785938
17,3684.4,1.56281,2.36146,1.4181,1.23128,0,0.58906,0.50618,0.54142,0.25215,0.56064,0.45309,0.48174,0.18601,1.59001,2.47775,1.42288,1.28455,0,0.000755,0.000755,0.000755
18,3850.34,1.55577,2.37065,1.40496,1.23434,0,0.57072,0.5529,0.55619,0.26341,0.51001,0.45989,0.47914,0.18649,1.56264,2.43897,1.39508,1.27558,0,0.000724062,0.000724062,0.000724062
19,4016.29,1.55036,2.35635,1.413,1.22959,0,0.53787,0.5432,0.5373,0.25555,0.505,0.49633,0.47601,0.1917,1.57623,2.47436,1.39672,1.27779,0,0.000693125,0.000693125,0.000693125
20,4182.02,1.53437,2.35138,1.39063,1.22219,0,0.57489,0.52004,0.53483,0.25942,0.53396,0.50056,0.50405,0.19601,1.54838,2.45506,1.39112,1.27425,0,0.000662188,0.000662188,0.000662188
21,4347.23,1.53213,2.32843,1.36893,1.21327,0,0.54027,0.54412,0.533,0.25257,0.49099,0.47058,0.47044,0.18646,1.57305,2.47018,1.39402,1.27945,0,0.00063125,0.00063125,0.00063125
22,4512.44,1.52811,2.31044,1.35276,1.21552,0,0.55332,0.56761,0.55984,0.26819,0.49416,0.51377,0.48398,0.19141,1.55392,2.44129,1.35887,1.27103,0,0.000600313,0.000600313,0.000600313
23,4677.95,1.51441,2.27448,1.3512,1.20277,0,0.54455,0.54668,0.53402,0.26366,0.48315,0.49611,0.46789,0.18722,1.539,2.43454,1.34845,1.26066,0,0.000569375,0.000569375,0.000569375
24,4843.36,1.49836,2.29987,1.32168,1.19447,0,0.59518,0.50721,0.54978,0.26286,0.58301,0.44756,0.49268,0.19306,1.55326,2.45116,1.33852,1.27263,0,0.000538438,0.000538438,0.000538438
25,5008.48,1.4941,2.26794,1.29261,1.19184,0,0.58793,0.51309,0.55481,0.27207,0.53579,0.47313,0.49633,0.19481,1.55783,2.44397,1.33756,1.27746,0,0.0005075,0.0005075,0.0005075
26,5174.05,1.492,2.2475,1.28688,1.18668,0,0.60788,0.54209,0.56666,0.2758,0.55198,0.47028,0.48722,0.19088,1.5391,2.44174,1.33736,1.25842,0,0.000476562,0.000476562,0.000476562
27,5339.51,1.49382,2.27407,1.27394,1.20102,0,0.59366,0.55058,0.57897,0.2892,0.52332,0.49444,0.50931,0.20717,1.52956,2.43006,1.30191,1.25829,0,0.000445625,0.000445625,0.000445625
28,5504.91,1.46473,2.22725,1.25659,1.17784,0,0.64982,0.49049,0.56146,0.27695,0.56414,0.44346,0.47914,0.19741,1.54346,2.42059,1.32426,1.26395,0,0.000414688,0.000414688,0.000414688
29,5670.64,1.45131,2.21697,1.25183,1.17098,0,0.61669,0.53888,0.56974,0.2841,0.56124,0.49292,0.50424,0.20579,1.52987,2.42972,1.29498,1.25812,0,0.00038375,0.00038375,0.00038375
