epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,277.279,2.00005,3.09389,3.16875,1.4365,0,0.172,0.29232,0.14607,0.05893,0.16708,0.27664,0.14642,0.05364,1.92448,2.8414,2.23926,1.43288,0,0.00999077,0.00333026,0.00999077,0.00333026,0.00999077,0.00333026,0.00999077,0.00333026
2,495.226,2.0227,2.89328,2.5321,1.49653,0,0.21865,0.11698,0.06801,0.02587,0.20863,0.10716,0.05847,0.02063,2.11989,3.10014,2.65039,1.62774,0,0.0199859,0.00666196,0.0199859,0.00666196,0.0199859,0.00666196,0.0199859,0.00666196
3,697.402,2.11041,2.99785,2.71003,1.62399,0,0.58081,0.09329,0.05719,0.01813,0.58642,0.09649,0.05719,0.01885,2.37418,3.16505,2.92728,2.05549,0,0.0299615,0.00998716,0.0299615,0.00998716,0.0299615,0.00998716,0.0299615,0.00998716
4,902.034,2.14862,2.99995,2.67453,1.67796,0,0.29599,0.20392,0.14234,0.05774,0.29263,0.19645,0.13464,0.04924,1.9814,2.94356,2.26581,1.61755,0,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,1103.98,2.04062,2.93422,2.53559,1.58367,0,0.56789,0.17919,0.18816,0.07399,0.55776,0.17658,0.17808,0.06474,1.92131,2.91007,2.18216,1.58768,0,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,1306.25,1.98004,2.84556,2.42841,1.53876,0,0.51397,0.23444,0.20747,0.08,0.51212,0.23315,0.19278,0.07015,1.92383,2.88581,2.04002,1.56276,0,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,1507.59,1.94028,2.80281,2.30527,1.5144,0,0.34301,0.31926,0.24177,0.09697,0.33781,0.3165,0.23807,0.08793,1.91078,2.91138,2.08933,1.55044,0,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,1705.79,1.88615,2.7551,2.25384,1.46966,0,0.54832,0.23375,0.22805,0.09383,0.55037,0.23297,0.21261,0.07327,1.86357,2.83516,1.96712,1.52939,0,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,1905.79,1.85919,2.71862,2.18729,1.45629,0,0.34161,0.36702,0.30378,0.12524,0.67824,0.2445,0.27286,0.1007,1.7752,2.80491,1.91305,1.43785,0,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,2107.43,1.8406,2.6885,2.137,1.43833,0,0.59355,0.32262,0.32074,0.13328,0.60036,0.31924,0.30502,0.11392,1.73985,2.71322,1.80267,1.44315,0,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,2309.61,1.82191,2.69424,2.05495,1.4215,0,0.40887,0.38393,0.35483,0.15119,0.34347,0.36281,0.31126,0.1081,1.73209,2.70309,1.75331,1.40265,0,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,2512.52,1.79842,2.65288,2.07238,1.41382,0,0.54312,0.30254,0.29646,0.1305,0.53593,0.29336,0.26557,0.09868,1.76298,2.72817,1.82862,1.43012,0,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
