epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2536,3.38525,4.4155,1.69299,0.26619,0.00608,0.00433,0.00104,4.09061,3.4836,1.58095,0.000199401,0.000199401,0.0802593
2,119.47,2.96338,3.09326,1.39463,0.26166,0.00717,0.00352,0.00112,3.90084,3.32217,1.50498,0.000399304,0.000399304,0.0604592
3,162.832,2.92344,3.06723,1.35464,0.01868,0.01654,0.00424,0.00204,3.76237,3.27876,1.51263,0.000598816,0.000598816,0.0406587
4,208.016,2.85759,3.01786,1.3,0.04985,0.00866,0.00606,0.00236,3.87816,3.28704,1.45735,0.000797645,0.000797645,0.0208575
5,255.307,2.81643,2.99232,1.30358,0.05952,0.01452,0.00671,0.00143,3.98389,3.16813,1.30847,0.0009955,0.0009955,0.00105538
6,300.017,2.79271,2.96621,1.27108,0.03806,0.01779,0.00874,0.0035,3.74632,3.24141,1.38107,0.000993906,0.000993906,0.000993906
7,346.11,2.77223,2.98176,1.26946,0.04811,0.01331,0.00618,0.00211,3.79661,3.31486,1.52356,0.000991232,0.000991232,0.000991232
8,391.276,2.74721,2.95013,1.27486,0.04442,0.02189,0.00836,0.00286,3.75171,3.07853,1.41951,0.000988079,0.000988079,0.000988079
9,433.306,2.69764,2.87966,1.24508,0.0362,0.01233,0.00624,0.00265,3.75162,3.18778,1.44229,0.000984449,0.000984449,0.000984449
10,477.381,2.66702,2.8602,1.23553,0.05156,0.02152,0.01007,0.00353,3.71107,3.15303,1.43892,0.000980345,0.000980345,0.000980345
11,521.544,2.67677,2.83968,1.23429,0.06149,0.01729,0.00908,0.00339,3.69107,3.12398,1.40418,0.000975773,0.000975773,0.000975773
12,565.264,2.68199,2.8822,1.24023,0.06077,0.02089,0.00922,0.00284,3.70811,3.07065,1.3431,0.000970736,0.000970736,0.000970736
13,609.958,2.65568,2.83603,1.22965,0.31745,0.0149,0.01012,0.00352,3.72957,3.2691,1.41382,0.000965239,0.000965239,0.000965239
14,651.281,2.64107,2.83975,1.22977,0.05098,0.02148,0.00966,0.003,3.6755,3.06614,1.37256,0.000959289,0.000959289,0.000959289
15,694.413,2.63088,2.81047,1.21387,0.3066,0.01718,0.00959,0.00355,3.69399,3.04811,1.34891,0.000952889,0.000952889,0.000952889
16,738.337,2.63233,2.80965,1.21068,0.03606,0.02486,0.00945,0.00333,3.75025,3.1556,1.31466,0.000946048,0.000946048,0.000946048
17,781.646,2.63019,2.80759,1.21606,0.04783,0.02377,0.00932,0.00284,3.70581,3.09002,1.28669,0.000938772,0.000938772,0.000938772
18,825.125,2.63304,2.80639,1.21637,0.05834,0.02142,0.01067,0.0034,3.71826,3.13222,1.37521,0.000931067,0.000931067,0.000931067
19,868.803,2.60408,2.78231,1.19797,0.06436,0.01612,0.01064,0.00435,3.6842,3.26099,1.37881,0.000922942,0.000922942,0.000922942
20,913.09,2.57202,2.75918,1.20012,0.05314,0.02102,0.01048,0.00403,3.64368,3.07945,1.31501,0.000914405,0.000914405,0.000914405
21,958.034,2.60141,2.79389,1.2093,0.5545,0.02411,0.01131,0.00385,3.6961,3.05258,1.28398,0.000905463,0.000905463,0.000905463
22,1001.11,2.58097,2.7622,1.19475,0.05309,0.02447,0.01095,0.00328,3.65969,3.09805,1.36117,0.000896127,0.000896127,0.000896127
23,1045.89,2.55374,2.74561,1.19137,0.06152,0.01735,0.00947,0.00344,3.6299,3.00829,1.33491,0.000886404,0.000886404,0.000886404
24,1089.66,2.52933,2.69314,1.18181,0.04777,0.0263,0.01195,0.00424,3.6757,3.08375,1.26616,0.000876305,0.000876305,0.000876305
