epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.92,3.28963,3.61253,2.42655,0.00266,0.00021,0.00018,3e-05,5.74,3.98744,2.34555,0.001997,0.001997,0.082027
2,315.608,2.63053,2.91573,1.89676,0.25227,0.00103,0.00021,4e-05,5.2077,3.74794,1.66232,0.00399685,0.00399685,0.0640268
3,440.391,2.52205,2.86326,1.8332,0.00338,0.00106,0.00066,9e-05,5.28468,4.27312,1.84581,0.00599606,0.00599606,0.046026
4,563.616,2.47997,2.85085,1.80383,0.00158,0.01574,0.00095,0.00017,4.76017,3.7404,1.41682,0.00799419,0.00799419,0.0280242
5,685.164,2.47463,2.88081,1.80737,0.50244,0.00924,0.00053,8e-05,4.81226,3.71176,1.49848,0.00999075,0.00999075,0.0100207
6,810.001,2.45468,2.87475,1.81171,0.25043,0.00441,0.00024,5e-05,5.11523,3.96174,1.73314,0.00999023,0.00999023,0.00999023
7,937.207,2.3934,2.83239,1.77077,0.75091,0.00014,0.00066,0.00014,5.54648,4.54225,2.22613,0.00998594,0.00998594,0.00998594
8,1062.74,2.38683,2.83443,1.75953,0.00172,0.00149,0.00014,3e-05,5.1264,4.01336,1.59745,0.00998086,0.00998086,0.00998086
9,1188.33,2.33764,2.78325,1.73968,0.0015,0.00796,0.00095,0.00027,4.88198,3.81629,1.4606,0.00997501,0.00997501,0.00997501
10,1316.44,2.3133,2.77179,1.72704,0.50374,0.00222,0.00087,0.00023,4.86967,3.74993,1.40956,0.00996838,0.00996838,0.00996838
11,1441.26,2.29447,2.74963,1.70963,0.50192,0.01613,0.00115,0.00021,4.77214,3.56181,1.413,0.00996097,0.00996097,0.00996097
12,1564.41,2.27973,2.74265,1.69779,0.00144,0.01241,0.00069,0.00013,4.6834,3.60501,1.34511,0.00995278,0.00995278,0.00995278
13,1690.2,2.27175,2.72945,1.69678,0.00996,0.00436,0.00144,0.00027,4.51582,3.46549,1.36764,0.00994383,0.00994383,0.00994383
14,1817.23,2.25256,2.71315,1.68162,0.25986,0.00548,0.0017,0.00038,4.52636,3.65042,1.40492,0.0099341,0.0099341,0.0099341
15,1939.96,2.23137,2.70514,1.67642,0.51106,0.00561,0.00192,0.00041,4.53945,3.46525,1.35635,0.00992359,0.00992359,0.00992359
16,2066.75,2.21056,2.68105,1.66588,0.50222,0.00861,0.00127,0.0003,4.83601,3.64736,1.45682,0.00991232,0.00991232,0.00991232
17,2189.1,2.19991,2.64844,1.66485,0.25345,0.00346,0.00109,0.00028,4.82127,3.6234,1.43661,0.00990028,0.00990028,0.00990028
